SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage,MigrationID
5dc96d22-ac85-4f7f-bf22-850842382178,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""Planning.tvf_ExplodeCostCenterHierarchy""",database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,26,2,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,None,SSC-FDM-TS0057,DEALLOCATE is not required in Snowflake Scripting. Cursors are automatically deallocated when they go out of scope.,DEALLOCATE IS NOT REQUIRED IN SNOWFLAKE SCRIPTING. CURSORS ARE AUTOMATICALLY DEALLOCATED WHEN THEY GO OUT OF SCOPE.,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,496,13,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CURSOR_STATUS' NODE,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,493,12,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,None,SSC-FDM-TS0057,DEALLOCATE is not required in Snowflake Scripting. Cursors are automatically deallocated when they go out of scope.,DEALLOCATE IS NOT REQUIRED IN SNOWFLAKE SCRIPTING. CURSORS ARE AUTOMATICALLY DEALLOCATED WHEN THEY GO OUT OF SCOPE.,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,490,13,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CURSOR_STATUS' NODE,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,487,12,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'RollbackName' NODE,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,482,38,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'RollbackName' NODE,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,478,38,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,None,SSC-FDM-TS0023,Transformed ERROR function functionality could be different in snowflake,ERROR MESSAGE COULD BE DIFFERENT IN SNOWFLAKE,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,470,29,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,None,SSC-FDM-TS0023,Transformed ERROR function functionality could be different in snowflake,ERROR NUMBER COULD BE DIFFERENT IN SNOWFLAKE,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,469,27,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
5dc96d22-ac85-4f7f-bf22-850842382178,Medium,SSC-EWI-0021,Syntax not supported in Snowflake,OUTPUT CLAUSE NOT SUPPORTED IN SNOWFLAKE,database_unspecified/planning/procedure/usp_processbudgetconsolidation.sql,422,9,N/A,Planning,N/A,"usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)","Planning.usp_ProcessBudgetConsolidation(INT,INT,VARCHAR,BIT,BIT,XML,INT,BIT,INT,NVARCHAR)",CREATE PROCEDURE,M,Transact,QpydAbG7e3W+MVZDPMig5Q==
